cluster,cpufreq,ddrfreq,cost
0,300000,200,0
0,300000,300,0
0,300000,451,0
0,300000,547,0
0,300000,681,0
0,300000,768,0
0,300000,1017,0
0,300000,1353,0
0,300000,1555,0
0,300000,1804,0
0,300000,2092,0
0,403200,200,0
0,403200,300,0
0,403200,451,0
0,403200,547,0
0,403200,681,0
0,403200,768,0
0,403200,1017,0
0,403200,1353,0
0,403200,1555,0
0,403200,1804,0
0,403200,2092,0
0,499200,200,0
0,499200,300,0
0,499200,451,0
0,499200,547,0
0,499200,681,0
0,499200,768,0
0,499200,1017,0
0,499200,1353,0
0,499200,1555,0
0,499200,1804,0
0,499200,2092,0
0,576000,200,0
0,576000,300,0
0,576000,451,0
0,576000,547,0
0,576000,681,0
0,576000,768,0
0,576000,1017,0
0,576000,1353,0
0,576000,1555,0
0,576000,1804,0
0,576000,2092,0
0,672000,200,0
0,672000,300,0
0,672000,451,0
0,672000,547,0
0,672000,681,0
0,672000,768,0
0,672000,1017,0
0,672000,1353,0
0,672000,1555,0
0,672000,1804,0
0,672000,2092,0
0,768000,200,0
0,768000,300,0
0,768000,451,0
0,768000,547,0
0,768000,681,0
0,768000,768,0
0,768000,1017,0
0,768000,1353,0
0,768000,1555,0
0,768000,1804,0
0,768000,2092,0
0,844800,200,0
0,844800,300,0
0,844800,451,0
0,844800,547,0
0,844800,681,0
0,844800,768,0
0,844800,1017,0
0,844800,1353,0
0,844800,1555,0
0,844800,1804,0
0,844800,2092,0
0,940800,200,0
0,940800,300,0
0,940800,451,0
0,940800,547,0
0,940800,681,0
0,940800,768,0
0,940800,1017,0
0,940800,1353,0
0,940800,1555,0
0,940800,1804,0
0,940800,2092,0
0,1036800,200,0
0,1036800,300,0
0,1036800,451,0
0,1036800,547,0
0,1036800,681,0
0,1036800,768,0
0,1036800,1017,0
0,1036800,1353,0
0,1036800,1555,0
0,1036800,1804,0
0,1036800,2092,0
0,1113600,200,0
0,1113600,300,0
0,1113600,451,0
0,1113600,547,0
0,1113600,681,0
0,1113600,768,0
0,1113600,1017,0
0,1113600,1353,0
0,1113600,1555,0
0,1113600,1804,0
0,1113600,2092,0
0,1209600,200,0
0,1209600,300,0
0,1209600,451,0
0,1209600,547,0
0,1209600,681,0
0,1209600,768,0
0,1209600,1017,0
0,1209600,1353,0
0,1209600,1555,0
0,1209600,1804,0
0,1209600,2092,0
0,1305600,200,0
0,1305600,300,0
0,1305600,451,0
0,1305600,547,0
0,1305600,681,0
0,1305600,768,0
0,1305600,1017,0
0,1305600,1353,0
0,1305600,1555,0
0,1305600,1804,0
0,1305600,2092,0
0,1382400,200,0
0,1382400,300,0
0,1382400,451,0
0,1382400,547,0
0,1382400,681,0
0,1382400,768,0
0,1382400,1017,0
0,1382400,1353,0
0,1382400,1555,0
0,1382400,1804,0
0,1382400,2092,0
0,1478400,200,0
0,1478400,300,0
0,1478400,451,0
0,1478400,547,0
0,1478400,681,0
0,1478400,768,0
0,1478400,1017,0
0,1478400,1353,0
0,1478400,1555,0
0,1478400,1804,0
0,1478400,2092,0
0,1555200,200,0
0,1555200,300,0
0,1555200,451,0
0,1555200,547,0
0,1555200,681,0
0,1555200,768,0
0,1555200,1017,0
0,1555200,1353,0
0,1555200,1555,0
0,1555200,1804,0
0,1555200,2092,0
0,1632000,200,0
0,1632000,300,0
0,1632000,451,0
0,1632000,547,0
0,1632000,681,0
0,1632000,768,0
0,1632000,1017,0
0,1632000,1353,0
0,1632000,1555,0
0,1632000,1804,0
0,1632000,2092,0
0,1708800,200,0
0,1708800,300,0
0,1708800,451,0
0,1708800,547,0
0,1708800,681,0
0,1708800,768,0
0,1708800,1017,0
0,1708800,1353,0
0,1708800,1555,0
0,1708800,1804,0
0,1708800,2092,0
0,1785600,200,0
0,1785600,300,0
0,1785600,451,0
0,1785600,547,0
0,1785600,681,0
0,1785600,768,0
0,1785600,1017,0
0,1785600,1353,0
0,1785600,1555,0
0,1785600,1804,0
0,1785600,2092,0
1,710400,200,12242685.71
1,710400,300,12242685.71
1,710400,451,14153475.79
1,710400,547,15369560.35
1,710400,681,15311133.47
1,710400,768,15549437.3
1,710400,1017,17758910.66
1,710400,1353,20278716.57
1,710400,1555,22375296.9
1,710400,1804,24467564.35
1,710400,2092,25227077.19
1,825600,200,12911893.24
1,825600,300,12911893.24
1,825600,451,14759640.01
1,825600,547,17654163.01
1,825600,681,16270041.1
1,825600,768,16939805.81
1,825600,1017,19815829.43
1,825600,1353,22587083.81
1,825600,1555,29587841.74
1,825600,1804,32225243.76
1,825600,2092,32557094.8
1,940800,200,12746926.49
1,940800,300,12746926.49
1,940800,451,15583865.49
1,940800,547,17067351.76
1,940800,681,17756972.88
1,940800,768,18697900.01
1,940800,1017,22168816.5
1,940800,1353,29363417.98
1,940800,1555,34653495.84
1,940800,1804,39886173.24
1,940800,2092,39184250.26
1,1056000,200,13677786.75
1,1056000,300,13677786.75
1,1056000,451,15974251.42
1,1056000,547,18079484.26
1,1056000,681,19753113.12
1,1056000,768,20492013.95
1,1056000,1017,27277399.87
1,1056000,1353,33513394.88
1,1056000,1555,40439835.51
1,1056000,1804,46323968.82
1,1056000,2092,44601535.25
1,1171200,200,12985706.99
1,1171200,300,12985706.99
1,1171200,451,17317868.37
1,1171200,547,19808536.59
1,1171200,681,20623773.53
1,1171200,768,21645688.53
1,1171200,1017,30613667.45
1,1171200,1353,36848235.68
1,1171200,1555,46002117.9
1,1171200,1804,51350741.78
1,1171200,2092,52042561.92
1,1286400,200,13801751.39
1,1286400,300,13801751.39
1,1286400,451,18121626.68
1,1286400,547,20535842.72
1,1286400,681,21925875
1,1286400,768,26178433.98
1,1286400,1017,32402525.03
1,1286400,1353,42306428.28
1,1286400,1555,49703417.58
1,1286400,1804,56161194.7
1,1286400,2092,57092267.96
1,1401600,200,13778082.4
1,1401600,300,13778082.4
1,1401600,451,18692782.68
1,1401600,547,21653901.24
1,1401600,681,23689452.67
1,1401600,768,28169709.18
1,1401600,1017,36502242.83
1,1401600,1353,45367169.27
1,1401600,1555,53211221.83
1,1401600,1804,60622187.93
1,1401600,2092,59518873.11
1,1497600,200,13811658.92
1,1497600,300,13811658.92
1,1497600,451,19716303.66
1,1497600,547,22660050.55
1,1497600,681,27793706.34
1,1497600,768,30320622.5
1,1497600,1017,39623571.23
1,1497600,1353,48538299.65
1,1497600,1555,55588890.62
1,1497600,1804,63223987.4
1,1497600,2092,64324027.18
1,1612800,200,14445219.34
1,1612800,300,14445219.34
1,1612800,451,20452060.71
1,1612800,547,23945301.15
1,1612800,681,29127407.02
1,1612800,768,33114424.29
1,1612800,1017,41431165.38
1,1612800,1353,51844530.87
1,1612800,1555,58622307.32
1,1612800,1804,66361802.23
1,1612800,2092,67126945.83
1,1708800,200,14310675.13
1,1708800,300,14310675.13
1,1708800,451,21376033.1
1,1708800,547,27813756.76
1,1708800,681,31432805.38
1,1708800,768,33414245.87
1,1708800,1017,44214626.18
1,1708800,1353,53952643.04
1,1708800,1555,61095906.03
1,1708800,1804,67813038.67
1,1708800,2092,70269093.66
1,1804800,200,15423850.66
1,1804800,300,15423850.66
1,1804800,451,21436432.53
1,1804800,547,28397804.69
1,1804800,681,32584051.22
1,1804800,768,36310450.03
1,1804800,1017,46580700.58
1,1804800,1353,55731306.3
1,1804800,1555,62071421.45
1,1804800,1804,71432112.83
1,1804800,2092,73699787.49
1,1920000,200,15049302.95
1,1920000,300,15049302.95
1,1920000,451,22806644.1
1,1920000,547,29445473.26
1,1920000,681,33277844.37
1,1920000,768,38029563.94
1,1920000,1017,46888223.74
1,1920000,1353,59484855.21
1,1920000,1555,64952508.25
1,1920000,1804,73453465.24
1,1920000,2092,75020669.63
1,2016000,200,15178287.68
1,2016000,300,15178287.68
1,2016000,451,22787695.09
1,2016000,547,30972153.21
1,2016000,681,35553625.14
1,2016000,768,39735761.62
1,2016000,1017,49423368.26
1,2016000,1353,59606269.87
1,2016000,1555,67131414.97
1,2016000,1804,74431943.51
1,2016000,2092,78614006.33
1,2131200,200,16199615.93
1,2131200,300,16199615.93
1,2131200,451,24400443.06
1,2131200,547,33465497.64
1,2131200,681,37488248.32
1,2131200,768,42259026.56
1,2131200,1017,51493436.98
1,2131200,1353,62043639.9
1,2131200,1555,68041550.95
1,2131200,1804,78303360.21
1,2131200,2092,84998852.68
1,2227200,200,16255396.69
1,2227200,300,16255396.69
1,2227200,451,25062074.8
1,2227200,547,34141895.97
1,2227200,681,38742331.99
1,2227200,768,43069067.61
1,2227200,1017,54578123.88
1,2227200,1353,65477123.79
1,2227200,1555,72423769.43
1,2227200,1804,81756410.55
1,2227200,2092,86907991.8
1,2323200,200,17116478.25
1,2323200,300,17116478.25
1,2323200,451,26130641.24
1,2323200,547,36036359.9
1,2323200,681,41395018.17
1,2323200,768,45591097.65
1,2323200,1017,54277474.07
1,2323200,1353,67946346.45
1,2323200,1555,74569584.56
1,2323200,1804,81791060.67
1,2323200,2092,90306609.19
1,2419200,200,18075239.73
1,2419200,300,18075239.73
1,2419200,451,29189770.91
1,2419200,547,39506515.19
1,2419200,681,44352823.77
1,2419200,768,47141794.61
1,2419200,1017,57392919.87
1,2419200,1353,68692987.07
1,2419200,1555,76766605.27
1,2419200,1804,87523739.85
1,2419200,2092,91467956.56
2,825600,200,0
2,825600,300,0
2,825600,451,0
2,825600,547,0
2,825600,681,0
2,825600,768,0
2,825600,1017,0
2,825600,1353,0
2,825600,1555,0
2,825600,1804,0
2,825600,2092,0
2,940800,200,0
2,940800,300,0
2,940800,451,0
2,940800,547,0
2,940800,681,0
2,940800,768,0
2,940800,1017,0
2,940800,1353,0
2,940800,1555,0
2,940800,1804,0
2,940800,2092,0
2,1056000,200,0
2,1056000,300,0
2,1056000,451,0
2,1056000,547,0
2,1056000,681,0
2,1056000,768,0
2,1056000,1017,0
2,1056000,1353,0
2,1056000,1555,0
2,1056000,1804,0
2,1056000,2092,0
2,1171200,200,0
2,1171200,300,0
2,1171200,451,0
2,1171200,547,0
2,1171200,681,0
2,1171200,768,0
2,1171200,1017,0
2,1171200,1353,0
2,1171200,1555,0
2,1171200,1804,0
2,1171200,2092,0
2,1286400,200,0
2,1286400,300,0
2,1286400,451,0
2,1286400,547,0
2,1286400,681,0
2,1286400,768,0
2,1286400,1017,0
2,1286400,1353,0
2,1286400,1555,0
2,1286400,1804,0
2,1286400,2092,0
2,1401600,200,0
2,1401600,300,0
2,1401600,451,0
2,1401600,547,0
2,1401600,681,0
2,1401600,768,0
2,1401600,1017,0
2,1401600,1353,0
2,1401600,1555,0
2,1401600,1804,0
2,1401600,2092,0
2,1497600,200,0
2,1497600,300,0
2,1497600,451,0
2,1497600,547,0
2,1497600,681,0
2,1497600,768,0
2,1497600,1017,0
2,1497600,1353,0
2,1497600,1555,0
2,1497600,1804,0
2,1497600,2092,0
2,1612800,200,0
2,1612800,300,0
2,1612800,451,0
2,1612800,547,0
2,1612800,681,0
2,1612800,768,0
2,1612800,1017,0
2,1612800,1353,0
2,1612800,1555,0
2,1612800,1804,0
2,1612800,2092,0
2,1708800,200,0
2,1708800,300,0
2,1708800,451,0
2,1708800,547,0
2,1708800,681,0
2,1708800,768,0
2,1708800,1017,0
2,1708800,1353,0
2,1708800,1555,0
2,1708800,1804,0
2,1708800,2092,0
2,1804800,200,0
2,1804800,300,0
2,1804800,451,0
2,1804800,547,0
2,1804800,681,0
2,1804800,768,0
2,1804800,1017,0
2,1804800,1353,0
2,1804800,1555,0
2,1804800,1804,0
2,1804800,2092,0
2,1920000,200,0
2,1920000,300,0
2,1920000,451,0
2,1920000,547,0
2,1920000,681,0
2,1920000,768,0
2,1920000,1017,0
2,1920000,1353,0
2,1920000,1555,0
2,1920000,1804,0
2,1920000,2092,0
2,2016000,200,0
2,2016000,300,0
2,2016000,451,0
2,2016000,547,0
2,2016000,681,0
2,2016000,768,0
2,2016000,1017,0
2,2016000,1353,0
2,2016000,1555,0
2,2016000,1804,0
2,2016000,2092,0
2,2131200,200,0
2,2131200,300,0
2,2131200,451,0
2,2131200,547,0
2,2131200,681,0
2,2131200,768,0
2,2131200,1017,0
2,2131200,1353,0
2,2131200,1555,0
2,2131200,1804,0
2,2131200,2092,0
2,2227200,200,0
2,2227200,300,0
2,2227200,451,0
2,2227200,547,0
2,2227200,681,0
2,2227200,768,0
2,2227200,1017,0
2,2227200,1353,0
2,2227200,1555,0
2,2227200,1804,0
2,2227200,2092,0
2,2323200,200,0
2,2323200,300,0
2,2323200,451,0
2,2323200,547,0
2,2323200,681,0
2,2323200,768,0
2,2323200,1017,0
2,2323200,1353,0
2,2323200,1555,0
2,2323200,1804,0
2,2323200,2092,0
2,2419200,200,0
2,2419200,300,0
2,2419200,451,0
2,2419200,547,0
2,2419200,681,0
2,2419200,768,0
2,2419200,1017,0
2,2419200,1353,0
2,2419200,1555,0
2,2419200,1804,0
2,2419200,2092,0
2,2534400,200,0
2,2534400,300,0
2,2534400,451,0
2,2534400,547,0
2,2534400,681,0
2,2534400,768,0
2,2534400,1017,0
2,2534400,1353,0
2,2534400,1555,0
2,2534400,1804,0
2,2534400,2092,0
2,2649600,200,0
2,2649600,300,0
2,2649600,451,0
2,2649600,547,0
2,2649600,681,0
2,2649600,768,0
2,2649600,1017,0
2,2649600,1353,0
2,2649600,1555,0
2,2649600,1804,0
2,2649600,2092,0
2,2745600,200,0
2,2745600,300,0
2,2745600,451,0
2,2745600,547,0
2,2745600,681,0
2,2745600,768,0
2,2745600,1017,0
2,2745600,1353,0
2,2745600,1555,0
2,2745600,1804,0
2,2745600,2092,0
2,2841600,200,0
2,2841600,300,0
2,2841600,451,0
2,2841600,547,0
2,2841600,681,0
2,2841600,768,0
2,2841600,1017,0
2,2841600,1353,0
2,2841600,1555,0
2,2841600,1804,0
2,2841600,2092,0
